uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"cb0e9ab9-e1a2-46e3-9e8b-84df9626dce8","TEAK_047.basePlot.vst","2021-11-10",,"D17","TEAK","TEAK_047","tower","evergreenForest",37.005149,-119.009069,"WGS84",20.4,321242.81,4097330.35,"11N",2143.3,0.7,"OK","vst_TEAK_2021","towerSubset","allGrowthForms","21_400|41_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"a0322bb7-3637-4282-85e7-70a5409e64e0","TEAK_044.basePlot.vst","2021-11-16",,"D17","TEAK","TEAK_044","tower","evergreenForest",37.003221,-119.010045,"WGS84",20.2,321151.44,4097118.27,"11N",2133.0,0.4,"OK","vst_TEAK_2021","towerSubset","allGrowthForms","21_400|39_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"98bcc2f8-7bbc-48d3-b39b-158454fa288e","TEAK_043.basePlot.vst","2021-11-18",,"D17","TEAK","TEAK_043","tower","evergreenForest",36.999698,-119.011037,"WGS84",20.1,321054.91,4096729.25,"11N",2141.8,0.1,"OK","vst_TEAK_2021","towerSubset","allGrowthForms","21_400|23_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"5a885508-2047-471c-9fd8-a3bef8f96409","TEAK_045.basePlot.vst","2021-11-22",,"D17","TEAK","TEAK_045","tower","evergreenForest",36.997917,-119.003820,"WGS84",20.5,321693.00,4096518.10,"11N",2137.0,0.5,"OK","vst_TEAK_2021","towerSubset","allGrowthForms","23_400|39_400","NEON.DOC.000987vJ","Y","Y","N","Y","Y","N","N","N","N","N","N","N",,"noneSelected","noneSelected","noneSelected","noneSelected",800,800,800,800,800,,,,
"310d43f8-01b3-42cd-8c1c-991f387141ed","TEAK_057.basePlot.vst","2021-11-30",,"D17","TEAK","TEAK_057","tower","evergreenForest",37.004089,-119.008047,"WGS84",20.2,321331.27,4097210.82,"11N",2140.3,0.3,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","21_400|23_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"noneSelected","noneSelected",,"noneSelected",,,,,,,,,
"0a908c14-3764-49a5-8f71-1eeb4e29bec7","TEAK_053.basePlot.vst","2021-11-30",,"D17","TEAK","TEAK_053","tower","evergreenForest",37.004851,-119.010746,"WGS84",20.4,321092.88,4097300.44,"11N",2133.3,1.0,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"noneSelected","noneSelected",,"noneSelected",,,,,,,,,
"60a4c2ed-9408-43ed-bfa4-5e42d560d6f6","TEAK_056.basePlot.vst","2021-11-30",,"D17","TEAK","TEAK_056","tower","evergreenForest",37.002101,-119.010675,"WGS84",20.3,321092.75,4096995.19,"11N",2142.6,0.5,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","21_400|39_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"noneSelected","noneSelected",,"noneSelected",,,,,,,,,
"677a0d6e-810c-4f55-8311-347c4317ca99","TEAK_051.basePlot.vst","2021-11-30",,"D17","TEAK","TEAK_051","tower","evergreenForest",37.002985,-119.007333,"WGS84",20.3,321392.22,4097086.99,"11N",2144.0,0.6,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"10","noneSelected",,"noneSelected",,,,,,,,,
"dd95f3aa-a5ef-4514-a267-c215c4b99b7c","TEAK_058.basePlot.vst","2021-11-30",,"D17","TEAK","TEAK_058","tower","evergreenForest",36.998096,-119.007605,"WGS84",20.2,321356.58,4096545.06,"11N",2125.6,0.2,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"100","noneSelected",,"100",,,,,,,,,
"aa58df52-216e-426f-a2f4-4f58192be5c7","TEAK_062.basePlot.vst","2021-11-30",,"D17","TEAK","TEAK_062","tower","evergreenForest",37.000259,-119.008964,"WGS84",20.3,321240.70,4096787.60,"11N",2130.3,0.6,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"100","noneSelected",,"noneSelected",,,,,,,,,
"4125ba67-cc3a-4122-a887-8cbc27f0d7d8","TEAK_060.basePlot.vst","2021-11-30",,"D17","TEAK","TEAK_060","tower","evergreenForest",37.000848,-119.005596,"WGS84",20.2,321541.80,4096846.63,"11N",2147.4,0.3,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","21_400|23_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"100","noneSelected",,"noneSelected",,,,,,,,,
"577ca343-874d-45d0-ac77-7186c0300407","TEAK_055.basePlot.vst","2021-11-30",,"D17","TEAK","TEAK_055","tower","evergreenForest",36.999220,-119.005545,"WGS84",20.3,321542.53,4096665.90,"11N",2158.7,0.3,"OK","vst_TEAK_2021","towerSubset","dendrometerOnly","23_400|39_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"noneSelected","noneSelected",,"100",,,,,,,,,
