uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,tagID,individualID,tagStatus,identificationHistoryID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,morphospeciesID,growthForm,shape,plantStatus,leafNumber,meanLeafLength,meanPetioleLength,meanBladeLength,basalStemDiameter,meanBasalDiameter,stemDiameter,stemLength,measurementHeight,maxCrownDiameter,ninetyCrownDiameter,height,baseCrownHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,canopyPosition,oldPadCount,newPadCount,stemCount,branchCount,meanBranchLength,remarks,measuredBy,recordedBy,dataEntryRecordID
"7dd27bca-bc49-44a1-a4ea-dcd4538a8483","TEAK_054.basePlot.vst","2015-08-19","vst_TEAK_2015","D17","TEAK","TEAK_054","33_unknown_4",,"TEMP.PLA.NW.TEAK.2015.54152",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"8 PTAQ nested subplot 4","jbolis@neoninc.org","kzias@field-ops.org",
"fb1ad49f-b631-401c-91d1-ba8ff1f5061d","TEAK_054.basePlot.vst","2015-08-19","vst_TEAK_2015","D17","TEAK","TEAK_054","51_unknown_4",,"TEMP.PLA.NW.TEAK.2015.54153",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"2 PTAQ nested subplot 4","jbolis@neoninc.org","kzias@field-ops.org",
"bd9932b0-6105-4b49-a403-ff0af8f53a28","TEAK_054.basePlot.vst","2015-08-19","vst_TEAK_2015","D17","TEAK","TEAK_054","24_unknown_2",,"TEMP.PLA.NW.TEAK.2015.54151",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"10 PTAQ nested subplot 2; ; proofed and no errors","jbolis@neoninc.org","kzias@field-ops.org",
"80c7f20c-76cf-4c49-954d-402e298c0faf","TEAK_054.basePlot.vst","2015-08-19","vst_TEAK_2015","D17","TEAK","TEAK_054","24_unknown_2",,"TEMP.PLA.NW.TEAK.2015.54155",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"10 PTAQ nested subplot 2; ; proofed and no errors","jbolis@neoninc.org","kzias@field-ops.org",
"e104de2f-3194-4e4b-8c03-adadcecd13c5","TEAK_054.basePlot.vst","2015-08-19","vst_TEAK_2015","D17","TEAK","TEAK_054","41_unknown_1",,"TEMP.PLA.NW.TEAK.2015.54154",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"16 PTAQ nested subplot 1","jbolis@neoninc.org","kzias@field-ops.org",
"4b214e38-4160-4def-bfd7-8f6628aedf72","TEAK_054.basePlot.vst","2015-08-19","vst_TEAK_2015","D17","TEAK","TEAK_054","33_unknown_4",,"TEMP.PLA.NW.TEAK.2015.54156",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"8 PTAQ nested subplot 4","jbolis@neoninc.org","kzias@field-ops.org",
"2d2195a5-1297-488f-bc17-f9eafb36bee3","TEAK_054.basePlot.vst","2015-08-19","vst_TEAK_2015","D17","TEAK","TEAK_054","51_unknown_4",,"TEMP.PLA.NW.TEAK.2015.54158",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"2 PTAQ nested subplot 4","jbolis@neoninc.org","kzias@field-ops.org",
"116b4561-8b69-4e88-8b27-eb5478d58098","TEAK_054.basePlot.vst","2015-08-19","vst_TEAK_2015","D17","TEAK","TEAK_054","41_unknown_1",,"TEMP.PLA.NW.TEAK.2015.54157",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"16 PTAQ nested subplot 1","jbolis@neoninc.org","kzias@field-ops.org",
"d56d112c-dee5-4d3b-b444-6a8d35b4bfc9","TEAK_061.basePlot.vst","2015-08-25","vst_TEAK_2015","D17","TEAK","TEAK_061","unknown_unknown_unknown",,"TEMP.PLA.NW.TEAK.2015.61151",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"7 PTAQ; ; proofed and no errors","kzias@field-ops.org","tedgarian@neoninc.org",
"4b3ad2f2-ff31-44cd-a7ee-3ea5b30bb032","TEAK_061.basePlot.vst","2015-08-25","vst_TEAK_2015","D17","TEAK","TEAK_061","21_unknown_unknown",,"TEMP.PLA.NW.TEAK.2015.61152",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"no ferns","kzias@field-ops.org","tedgarian@neoninc.org",
"faf020ce-9290-4205-b3d2-afd014053e13","TEAK_061.basePlot.vst","2015-08-25","vst_TEAK_2015","D17","TEAK","TEAK_061","21_unknown_unknown",,"TEMP.PLA.NW.TEAK.2015.61154",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"no ferns","kzias@field-ops.org","tedgarian@neoninc.org",
"7b5039ab-9df8-46f5-9bc3-b31295574bd0","TEAK_061.basePlot.vst","2015-08-25","vst_TEAK_2015","D17","TEAK","TEAK_061","unknown_unknown_unknown",,"TEMP.PLA.NW.TEAK.2015.61153",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"7 PTAQ; ; proofed and no errors","kzias@field-ops.org","tedgarian@neoninc.org",
