uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"a1c89008-ce1c-4086-a713-97b07dc90837","TEAK_045.basePlot.vst","2015-08-13","vst_TEAK_2015","D17","TEAK","TEAK_045","23_400","NEON.PLA.D17.TEAK.00404",,,"single bole tree","Standing dead",10.8,130,,,,,,,,,,,,,,,,,,,,,,,"krian@neoninc.org","kzias@field-ops.org",,"legacyData"
"d4802662-35a5-4e1d-8ee5-15dd3ec6d42d","TEAK_045.basePlot.vst","2015-08-13","vst_TEAK_2015","D17","TEAK","TEAK_045","23_400","NEON.PLA.D17.TEAK.00406",,,"single bole tree","Live",54.0,130,,,,,,,,,,,,,,,,,,,,,,,"krian@neoninc.org","kzias@field-ops.org",,"legacyData"
"2ae808f2-1d3e-46a3-b953-760e1cecd7b3","TEAK_045.basePlot.vst","2015-08-13","vst_TEAK_2015","D17","TEAK","TEAK_045","39_400","NEON.PLA.D17.TEAK.00353",,,"small tree","Live",2.5,130,,2.0,,,,,,,,,,,,,,,,,,,,"proofed and no errors","kzias@field-ops.org","jbolis@neoninc.org",,"legacyData"
"0407d9dc-e746-4e0f-97ce-714a4c54cf83","TEAK_045.basePlot.vst","2015-08-13","vst_TEAK_2015","D17","TEAK","TEAK_045","39_400","NEON.PLA.D17.TEAK.00329",,,"single bole tree","Live",31.1,130,,,,,,,,,,,,,,,,,,,,,,,"lwade@field-ops.org","jbolis@neoninc.org",,"legacyData"
"63fb5b84-0309-4a4a-874c-29894a0ee366","TEAK_045.basePlot.vst","2015-08-13","vst_TEAK_2015","D17","TEAK","TEAK_045","39_400","NEON.PLA.D17.TEAK.00332",,,"single bole tree","Standing dead",28.1,130,,,,,,,,,,,,,,,,,,,,,,"proofed and no errors","lwade@field-ops.org","jbolis@neoninc.org",,"legacyData"
"0ee9f588-62be-423f-9cb1-b878de222d87","TEAK_045.basePlot.vst","2015-08-13","vst_TEAK_2015","D17","TEAK","TEAK_045","39_400","NEON.PLA.D17.TEAK.00352",,,"small tree","Live",9.8,130,,3.5,,,,,,,,,,,,,,,,,,,,,"kzias@field-ops.org","jbolis@neoninc.org",,"legacyData"
"8dfa5076-69ef-4867-8e4c-aede7edca00a","TEAK_045.basePlot.vst","2015-08-13","vst_TEAK_2015","D17","TEAK","TEAK_045","39_400","NEON.PLA.D17.TEAK.00317",,,"small tree","Live",2.7,130,,1.6,,,,,,,,,,,,,,,,,,,,,"lwade@field-ops.org","jbolis@neoninc.org",,"legacyData"
"0c27225b-35cc-49fa-8ec5-19a1e1fbc464","TEAK_045.basePlot.vst","2015-08-13","vst_TEAK_2015","D17","TEAK","TEAK_045","39_400","NEON.PLA.D17.TEAK.00363",,,"sapling","Live",,,,1.1,,,,,,,,,,,,,,,,,,,,"proofed and no errors","kzias@field-ops.org","jbolis@neoninc.org",,"legacyData"
"ede8165e-c426-4270-8ae5-99189490eda0","TEAK_045.basePlot.vst","2015-08-13","vst_TEAK_2015","D17","TEAK","TEAK_045","39_400","NEON.PLA.D17.TEAK.00377",,,"single bole tree","Standing dead",12.5,130,,,,,,,,,,,,,,,,,,,,,,,"kzias@field-ops.org","jbolis@neoninc.org",,"legacyData"
"a0484f45-f51a-4603-939c-6350f4f8ccd6","TEAK_045.basePlot.vst","2015-08-13","vst_TEAK_2015","D17","TEAK","TEAK_045","39_400","NEON.PLA.D17.TEAK.00376",,,"small tree","Live",6.1,130,,3.0,,,,,,,,,,,,,,,,,,,,,"kzias@field-ops.org","jbolis@neoninc.org",,"legacyData"
