uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,individualID,tempStemID,tagStatus,growthForm,plantStatus,stemDiameter,measurementHeight,changedMeasurementLocation,height,baseCrownHeight,breakHeight,breakDiameter,maxCrownDiameter,ninetyCrownDiameter,canopyPosition,shape,basalStemDiameter,basalStemDiameterMsrmntHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,dendrometerInstallationDate,initialGapMeasurementDate,initialBandStemDiameter,initialDendrometerGap,dendrometerHeight,dendrometerGap,dendrometerCondition,bandStemDiameter,remarks,recordedBy,measuredBy,dataEntryRecordID,dataQF
"c392b15e-1bfa-4658-bf2f-ba6c067d791f","TEAK_052.basePlot.vst","2015-10-01","vst_TEAK_2015","D17","TEAK","TEAK_052","51_100","NEON.PLA.D17.TEAK.02250",,,"small tree","Live",6.8,130,,3.4,,,,,,"Full shade",,,,,,,,,,,,,,,"emccarthy@field-ops.org","kzias@field-ops.org",,"legacyData"
"4dc348a5-0f1f-4b64-9f0c-af1d91247446","TEAK_052.basePlot.vst","2015-10-01","vst_TEAK_2015","D17","TEAK","TEAK_052","51_100","NEON.PLA.D17.TEAK.02268",,,"small tree","Live",2.0,130,,1.6,,,,,,"Full shade",,,,,,,,,,,,,,,"emccarthy@field-ops.org","kzias@field-ops.org",,"legacyData"
"cb90eafa-d0db-496e-a6c1-97acbdba4005","TEAK_043.basePlot.vst","2015-10-01","vst_TEAK_2015","D17","TEAK","TEAK_043","24_100","NEON.PLA.D17.TEAK.02231",,,"sapling","Live",,,,1.0,,,,,,"Full shade",,,,,,,,,,,,,,,"emccarthy@field-ops.org","kzias@field-ops.org",,"legacyData"
"59405325-a1da-41e5-bb77-166dc3d99932","TEAK_052.basePlot.vst","2015-10-01","vst_TEAK_2015","D17","TEAK","TEAK_052","51_100","NEON.PLA.D17.TEAK.02261",,,"small tree","Live",1.5,130,,1.6,,,,,,"Full shade",,,,,,,,,,,,,,,"emccarthy@field-ops.org","kzias@field-ops.org",,"legacyData"
"c1c5be6f-9b89-4004-b54c-a25369f09a45","TEAK_052.basePlot.vst","2015-10-01","vst_TEAK_2015","D17","TEAK","TEAK_052","51_100","NEON.PLA.D17.TEAK.02265",,,"sapling","Live",,,,1.1,,,,,,"Full shade",,,,,,,,,,,,,,"proofed and no errors","emccarthy@field-ops.org","kzias@field-ops.org",,"legacyData"
"21895748-5a5a-4cbf-9bb0-2b5a5053a481","TEAK_043.basePlot.vst","2015-10-01","vst_TEAK_2015","D17","TEAK","TEAK_043","24_100","NEON.PLA.D17.TEAK.02234",,,"small tree","Live",4.0,130,,2.1,,,,,,"Full shade",,,,,,,,,,,,,,,"emccarthy@field-ops.org","kzias@field-ops.org",,"legacyData"
"f140ab2f-5fca-4cdc-bd97-b95c1c3a7f68","TEAK_043.basePlot.vst","2015-10-01","vst_TEAK_2015","D17","TEAK","TEAK_043","23_400","NEON.PLA.D17.TEAK.02248",,,"single bole tree","Live",29.8,130,,,,,,,,"Full shade",,,,,,,,,,,,,,,"emccarthy@field-ops.org","kzias@field-ops.org",,"legacyData"
"c0a95017-6197-45be-9250-5f6e0b75b5d6","TEAK_052.basePlot.vst","2015-10-01","vst_TEAK_2015","D17","TEAK","TEAK_052","41_100","NEON.PLA.D17.TEAK.02283",,,"small tree","Live",2.0,130,,1.8,,,,,,"Full shade",,,,,,,,,,,,,,,"emccarthy@field-ops.org","kzias@field-ops.org",,"legacyData"
"e680cb7b-da3b-4ee2-88bc-ce7e2cf7e37b","TEAK_052.basePlot.vst","2015-10-01","vst_TEAK_2015","D17","TEAK","TEAK_052","41_400","NEON.PLA.D17.TEAK.02272",,,"single bole tree","Live",56.8,130,,,,,,,,"Partially shaded",,,,,,,,,,,,,,,"emccarthy@field-ops.org","kzias@field-ops.org",,"legacyData"
"4ba745fb-fb54-4368-941d-42497ea83715","TEAK_043.basePlot.vst","2015-10-01","vst_TEAK_2015","D17","TEAK","TEAK_043","23_400","NEON.PLA.D17.TEAK.02247",,,"single bole tree","Live",19.0,130,,,,,,,,"Mostly shaded",,,,,,,,,,,,,,,"emccarthy@field-ops.org","kzias@field-ops.org",,"legacyData"
