uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"cce794da-270b-4ef4-9e57-9d224be090e9","TEAK_005.basePlot.vst","2022-07-06",,"D17","TEAK","TEAK_005","distributed","evergreenForest",37.058229,-118.988578,"WGS84",20.2,323189.36,4103181.40,"11N",2727.2,0.3,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y","Y","N","Present - sampled","Present - sampled","N","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected","noneSelected",400,400,400,400,400,"Full plot sample",,,
"301819b4-4362-4728-a4b1-11b9c0347cb1","TEAK_011.basePlot.vst","2022-07-06",,"D17","TEAK","TEAK_011","distributed","evergreenForest",37.004153,-119.002986,"WGS84",20.2,321781.78,4097208.43,"11N",2152.4,0.2,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y","Y","N","Present - sampled","Present - sampled","N","N","N","N","N","N","N","N","10","noneSelected","noneSelected","noneSelected",400,80,400,400,400,,,,
"25934b93-d61c-4fc2-b8a2-cc81c41b7ea8","TEAK_007.basePlot.vst","2022-07-12",,"D17","TEAK","TEAK_007","distributed","evergreenForest",36.999797,-119.052104,"WGS84",20.1,317400.51,4096818.25,"11N",2131.3,0.1,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y","Y","N","Present - sampled","Present - sampled","N","N","N","N","N","N","N","N","10","noneSelected","noneSelected","noneSelected",400,80,400,400,400,"Nested subplots measured at 10 meter squared",,,
"27c0b8a7-ed2c-4b1a-8d58-3de8e9ce06cb","TEAK_043.basePlot.vst","2022-07-12",,"D17","TEAK","TEAK_043","tower","evergreenForest",36.999698,-119.011037,"WGS84",20.1,321054.91,4096729.25,"11N",2141.8,0.1,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","21_400|23_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"11a6e750-f1d6-4b83-b823-2b6d6c9b92e4","TEAK_045.basePlot.vst","2022-07-13",,"D17","TEAK","TEAK_045","tower","evergreenForest",36.997917,-119.003820,"WGS84",20.5,321693.00,4096518.10,"11N",2137.0,0.5,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","23_400|39_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"noneSelected","noneSelected","noneSelected","noneSelected",800,800,800,800,800,"Nested 10 by 10",,,
"25e5d1fc-fbac-478b-ba40-b274d1e24f8d","TEAK_014.basePlot.vst","2022-07-13",,"D17","TEAK","TEAK_014","distributed","evergreenForest",37.022379,-119.042558,"WGS84",20.2,318303.82,4099305.52,"11N",2222.1,0.2,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y","Y","N","Present - sampled","Present - sampled","N","N","N","N","N","N","N","N","10","noneSelected","noneSelected","noneSelected",400,80,400,400,400,"Nested subplot size measured at 10 meter squared",,,
"855cbddd-7dcb-411e-91b8-a90ce5d586bb","TEAK_010.basePlot.vst","2022-07-13",,"D17","TEAK","TEAK_010","distributed","evergreenForest",37.014434,-119.049096,"WGS84",20.1,317703.17,4098436.51,"11N",2221.6,0.1,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y","Y","N","Present - sampled","Present - sampled","N","N","N","N","N","N","N","N","3","noneSelected","noneSelected","noneSelected",400,24,400,400,400,"Nested subplots measured at 3 meter squared",,,
"a643b837-2bdc-4add-bac2-18c08f74fc16","TEAK_044.basePlot.vst","2022-07-19",,"D17","TEAK","TEAK_044","tower","evergreenForest",37.003221,-119.010045,"WGS84",20.2,321151.44,4097118.27,"11N",2133.0,0.4,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","21_400|39_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
"5ba8b3dd-8412-4e6b-8941-3d263b5cb683","TEAK_046.basePlot.vst","2022-07-20",,"D17","TEAK","TEAK_046","tower","evergreenForest",37.006791,-119.007756,"WGS84",20.2,321363.49,4097510.07,"11N",2151.2,0.3,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","39_400|41_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,"Did not survey the following individuals due to overhead tree hazards (snagged trees): 1990 1991 1992 1993 1994 1996 2000 2002 2004 2011.",,,
"6964fbc1-00df-4bf7-ab33-a952b280a71e","TEAK_047.basePlot.vst","2022-07-21",,"D17","TEAK","TEAK_047","tower","evergreenForest",37.005149,-119.009069,"WGS84",20.4,321242.81,4097330.35,"11N",2143.3,0.7,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","21_400|41_400","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"100","noneSelected","noneSelected","noneSelected",800,400,800,800,800,,,,
