uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,tagID,individualID,tagStatus,identificationHistoryID,taxonID,scientificName,taxonRank,identificationReferences,identificationQualifier,morphospeciesID,growthForm,shape,plantStatus,leafNumber,meanLeafLength,meanPetioleLength,meanBladeLength,basalStemDiameter,meanBasalDiameter,stemDiameter,stemLength,measurementHeight,maxCrownDiameter,ninetyCrownDiameter,height,baseCrownHeight,maxBaseCrownDiameter,ninetyBaseCrownDiameter,canopyPosition,oldPadCount,newPadCount,stemCount,branchCount,meanBranchLength,remarks,measuredBy,recordedBy,dataEntryRecordID
"23affd94-7349-4847-8b52-a68e76e853c2","TEAK_055.basePlot.vst","2015-09-10","vst_TEAK_2015","D17","TEAK","TEAK_055","48_unknown_3",,"TEMP.PLA.NW.TEAK.2015.55154",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"1 PTAQ nested subplot 3","kzias@field-ops.org","jbolis@neoninc.org",
"210bc5cf-658a-4b95-a0eb-033ed816ddf5","TEAK_055.basePlot.vst","2015-09-10","vst_TEAK_2015","D17","TEAK","TEAK_055","39_unknown_1",,"TEMP.PLA.NW.TEAK.2015.55156",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"18 PTAQ nested subplot 1","kzias@field-ops.org","jbolis@neoninc.org",
"5a05fa0f-ddbc-464c-89e9-00ee68279acb","TEAK_055.basePlot.vst","2015-09-10","vst_TEAK_2015","D17","TEAK","TEAK_055","48_unknown_3",,"TEMP.PLA.NW.TEAK.2015.55155",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"1 PTAQ nested subplot 3","kzias@field-ops.org","jbolis@neoninc.org",
"a2383cc5-4afb-4416-b48a-0390faddb8d0","TEAK_055.basePlot.vst","2015-09-10","vst_TEAK_2015","D17","TEAK","TEAK_055","39_unknown_1",,"TEMP.PLA.NW.TEAK.2015.55153",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"18 PTAQ nested subplot 1","kzias@field-ops.org","jbolis@neoninc.org",
"c08be88a-cd46-494e-b7d6-1312a506275a","TEAK_055.basePlot.vst","2015-09-10","vst_TEAK_2015","D17","TEAK","TEAK_055","33_unknown_4",,"TEMP.PLA.NW.TEAK.2015.55158",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"0 PTAQ nested subplot 4","kzias@field-ops.org","jbolis@neoninc.org",
"37c0ceed-1d4f-4c9f-8238-70ae0b9c1a68","TEAK_055.basePlot.vst","2015-09-10","vst_TEAK_2015","D17","TEAK","TEAK_055","24_unknown_2",,"TEMP.PLA.NW.TEAK.2015.55152",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"0 PTAQ nested subplot 2","kzias@field-ops.org","jbolis@neoninc.org",
"6f7e20a1-1238-4d60-adcf-85c8276c1a62","TEAK_055.basePlot.vst","2015-09-10","vst_TEAK_2015","D17","TEAK","TEAK_055","24_unknown_2",,"TEMP.PLA.NW.TEAK.2015.55157",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"0 PTAQ nested subplot 2","kzias@field-ops.org","jbolis@neoninc.org",
"df772e8d-97fb-4c7e-9255-8a261bf63e51","TEAK_055.basePlot.vst","2015-09-10","vst_TEAK_2015","D17","TEAK","TEAK_055","33_unknown_4",,"TEMP.PLA.NW.TEAK.2015.55151",,,"PTAQ","Pteridium aquilinum (L.) Kuhn","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"0 PTAQ nested subplot 4","kzias@field-ops.org","jbolis@neoninc.org",
"13b041f7-4c02-405c-aa09-497522fbd0d8","TEAK_044.basePlot.vst","2015-09-16","vst_TEAK_2015","D17","TEAK","TEAK_044","39_unknown_1",,"TEMP.PLA.NW.TEAK.2015.44158",,,"ATFI","Athyrium filix-femina (L.) Roth","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"5 ATFI fronds subplot 1","tedgarian@neoninc.org","kzias@field-ops.org",
"96bdcd85-0baa-45b8-931e-7a0fd915343c","TEAK_044.basePlot.vst","2015-09-16","vst_TEAK_2015","D17","TEAK","TEAK_044","31_unknown_4",,"TEMP.PLA.NW.TEAK.2015.44154",,,"ATFI","Athyrium filix-femina (L.) Roth","species",,,,"fern",,,,,,,,,,,,,,,,,,,,,,,,"52 ATFI fronds subplot 4","tedgarian@neoninc.org","kzias@field-ops.org",
