uid,namedLocation,date,nonwoodyCollectDate,domainID,siteID,plotID,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,easting,northing,utmZone,elevation,elevationUncertainty,samplingImpractical,eventID,eventType,dataCollected,subplotsSampled,samplingProtocolVersion,targetTaxaPresent,woodyTargetTaxaPresent,nonWoodyTargetTaxaPresent,treesPresent,shrubsPresent,lianasPresent,cactiPresent,fernsPresent,yuccasPresent,palmsPresent,ocotillosPresent,xerophyllumPresent,treeFernsPresent,nestedSubplotAreaShrubSapling,nestedSubplotAreaLiana,nestedSubplotAreaFerns,nestedSubplotAreaOther,totalSampledAreaTrees,totalSampledAreaShrubSapling,totalSampledAreaLiana,totalSampledAreaFerns,totalSampledAreaOther,remarks,measuredBy,recordedBy,dataQF
"9f947cf5-81e2-4f4d-94bf-6c79be9c6a61","TEAK_012.basePlot.vst","2022-08-02",,"D17","TEAK","TEAK_012","distributed","evergreenForest",37.013801,-119.009599,"WGS84",20.1,321215.92,4098291.31,"11N",2207.5,0.1,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y","Y","N","Present - sampled","Present - sampled","N","N","N","N","N","N","N","N","noneSelected","noneSelected","noneSelected","noneSelected",400,200,400,400,400,"25 m2",,,
"0a1c2fb6-6629-4419-bc54-7eb472c35416","TEAK_017.basePlot.vst","2022-08-09",,"D17","TEAK","TEAK_017","distributed","evergreenForest",36.994069,-119.055283,"WGS84",20.2,317103.88,4096188.82,"11N",2146.6,0.2,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"3","noneSelected","noneSelected","noneSelected",400,400,400,400,400,"Nested subplots measured at 3 meter squared.",,,
"0f94e172-3a85-4bec-a129-8cfadd91f70b","TEAK_013.basePlot.vst","2022-08-10",,"D17","TEAK","TEAK_013","distributed","evergreenForest",36.974821,-119.041671,"WGS84",20.3,318269.53,4094027.13,"11N",2359.6,0.3,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"10","noneSelected","noneSelected","noneSelected",400,400,400,400,400,,,,
"4ca9b48e-be8a-4f6c-ad21-40855c97c60a","TEAK_019.basePlot.vst","2022-08-15",,"D17","TEAK","TEAK_019","distributed","evergreenForest",36.973770,-119.009213,"WGS84",20.2,321156.51,4093849.06,"11N",2128.5,0.3,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"noneSelected","noneSelected","noneSelected","noneSelected",400,400,400,400,400,,,,
"2d2b625f-4e01-4a36-9476-c144586d67a6","TEAK_020.basePlot.vst","2022-08-16",,"D17","TEAK","TEAK_020","distributed","evergreenForest",37.025679,-119.008624,"WGS84",20.1,321330.50,4099607.37,"11N",2521.1,0.2,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"noneSelected","noneSelected","noneSelected","noneSelected",400,400,400,400,400,,,,
"c59ba60c-803f-4be8-8cbe-5acb209c4210","TEAK_016.basePlot.vst","2022-08-16",,"D17","TEAK","TEAK_016","distributed","evergreenForest",37.030316,-119.006407,"WGS84",20.1,321538.59,4100117.69,"11N",2535.0,0.2,"OK","vst_TEAK_2022","distributedAndTowerSubset","allGrowthForms","31_100|32_100|40_100|41_100","NEON.DOC.000987vJ","Y",,"N","Y","Y","N","N","N","N","N","N","N",,"noneSelected","noneSelected","noneSelected","noneSelected",400,400,400,400,400,,,,
"16d93f40-3aa3-4bd3-8b60-c36bca0f53b4","TEAK_055.basePlot.vst","2022-08-17",,"D17","TEAK","TEAK_055","tower","evergreenForest",36.999220,-119.005545,"WGS84",20.3,321542.53,4096665.90,"11N",2158.7,0.3,"OK","vst_TEAK_2022","distributedAndTowerSubset","dendrometerOnly","23_400|39_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"noneSelected","noneSelected",,"100",,,,,,,,,
"908d7079-9a27-42a7-9845-32c2f5e5ab5f","TEAK_062.basePlot.vst","2022-08-17",,"D17","TEAK","TEAK_062","tower","evergreenForest",37.000259,-119.008964,"WGS84",20.3,321240.70,4096787.60,"11N",2130.3,0.6,"OK","vst_TEAK_2022","distributedAndTowerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"100","noneSelected",,"noneSelected",,,,,,,,,
"69c730cb-aad0-42b0-9411-95a5692d9d94","TEAK_061.basePlot.vst","2022-08-17",,"D17","TEAK","TEAK_061","tower","evergreenForest",37.001477,-119.001573,"WGS84",20.2,321901.27,4096908.88,"11N",2163.3,0.2,"OK","vst_TEAK_2022","distributedAndTowerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"100","noneSelected",,"noneSelected",,,,,,,,,
"a3f64be0-1585-4774-a58e-fbab6630306c","TEAK_058.basePlot.vst","2022-08-17",,"D17","TEAK","TEAK_058","tower","evergreenForest",36.998096,-119.007605,"WGS84",20.2,321356.58,4096545.06,"11N",2125.6,0.2,"OK","vst_TEAK_2022","distributedAndTowerSubset","dendrometerOnly","21_400|41_400","NEON.DOC.000987vJ","Y",,,,,,,,,,,,,"100","noneSelected",,"100",,,,,,,,,
